month,date,yoy_num,yoy_vol
84,2007-01,.1354711367553249,.13159598126239
85,2007-02,.0306973597552307,-.0070242268206114
86,2007-03,.0589935791419769,.1330687699700158
87,2007-04,.1398567506027544,.1657508055048121
88,2007-05,.0807928508784642,.0503440555982162
89,2007-06,.0459941855802817,.0414495599613945
90,2007-07,.0640715732896028,.0425684852785513
91,2007-08,.0121989359812886,-.0651959135352494
92,2007-09,-.1122260929683205,-.1676544794929338
93,2007-10,.0550285918963474,.0213054126062327
94,2007-11,-.0197990220173815,-.033016445717261
95,2007-12,-.0477032633898272,-.0388868943218394
96,2008-01,-.1007114209186284,-.0895789557785985
97,2008-02,-.1691476664458273,-.1846457617990863
98,2008-03,-.1393088018871852,-.1631396001048588
99,2008-04,-.1311450498761622,-.1556185575396581
100,2008-05,-.1356504754172624,-.126233508765467
101,2008-06,-.1336802320316678,-.0626881487030572
102,2008-07,-.0458216864247008,.1126587140058053
103,2008-08,-.2198473904301376,-.1847984098200713
104,2008-09,-.2083320653596247,-.1906873420095514
105,2008-10,-.3089632023202395,-.3217954749977175
106,2008-11,-.2909392200567961,-.3461439892407562
107,2008-12,-.3582849064667222,-.4259768087925477
108,2009-01,-.4167253747123123,-.4629181078965129
109,2009-02,-.4502502809548664,-.4805505725710007
110,2009-03,-.4246618924932674,-.4688205156399882
111,2009-04,-.4331310610184052,-.482532163150478
112,2009-05,-.4352571882156718,-.4792342402109585
113,2009-06,-.4576912897339111,-.5374007379167267
114,2009-07,-.5153185639210148,-.6377889174777041
115,2009-08,-.4332777356352682,-.5215970191616992
116,2009-09,-.4259268258998071,-.5195373099325444
117,2009-10,-.3241740256353658,-.4311580896212601
118,2009-11,-.2845122142516876,-.3607483211785202
119,2009-12,-.1872173051038132,-.2823713848910474
120,2010-01,-.1082821550781998,-.1900598180392286
121,2010-02,-.1487642710292635,-.2118954766022836
122,2010-03,-.0954227770775877,-.1195358490612621
123,2010-04,-.0402618322403489,-.0881341111194159
124,2010-05,-.0493914525725966,-.0940366925546856
125,2010-06,.0162023460078848,-.0550470277997617
126,2010-07,.0735745559982254,.0661200732533164
127,2010-08,.0996015318588159,.1098552842140974
128,2010-09,.1263753967141774,.1206232014335192
129,2010-10,.0498774386782975,.1421321004256833
130,2010-11,.1189642144640421,.2327701600813999
131,2010-12,.1059202071664065,.2836621870994299
132,2011-01,.0799514881176951,.1821347056720434
133,2011-02,.2292068842857385,.327322590226205
134,2011-03,.2524449483299479,.3033547938063055
